Año,Nombre,País,Idioma
1901,Sully Prudhomme,Francia,Francés
1902,Theodor Mommsen,Imperio alemán,Alemán
1903,Bjørnstjerne Bjørnson,Noruega Noruega,Noruego
1904,Frédéric Mistral,Francia,Provenzal
,España,Español,"«en reconocimiento a las numerosas y brillantes composiciones que, en una manera individual y original, han revivido las grandiosas tradiciones del drama español».[14]​"
1905,Henryk Sienkiewicz,Polonia Polonia,Polaco
1906,Giosuè Carducci,Italia Italia,Italiano
1907,Rudyard Kipling,Reino Unido Reino Unido,Inglés
1908,Rudolf Christoph Eucken,Imperio alemán,Alemán
1909,Selma Lagerlöf,Suecia Suecia,Sueco
1910,Paul von Heyse,Imperio alemán,Alemán
1911,Maurice Maeterlinck,Bélgica Bélgica,Francés
1912,Gerhart Hauptmann,Imperio alemán,Alemán
1913,Rabindranath Tagore,Raj británico (India),Bengalí e inglés
1915,Romain Rolland,Francia,Francés
1916,Verner von Heidenstam,Suecia Suecia,Sueco
1917,Karl Adolph Gjellerup,Dinamarca Dinamarca,Danés y alemán
1919,Carl Spitteler,Suiza Suiza,Alemán
1920,Knut Hamsun,Noruega Noruega,Noruego
1921,Anatole France,Francia,Francés
1922,Jacinto Benavente,España,Español
1923,William Butler Yeats,Irlanda,Inglés
1924,Władysław Reymont,Polonia Polonia,Polaco
1925,George Bernard Shaw,Irlanda,Inglés
1926,Grazia Deledda,Italia Italia,Italiano
1927,Henri Bergson,Francia,Francés
1928,Sigrid Undset,Noruega Noruega (nacida en Dinamarca),Noruego
1929,Thomas Mann,Alemania Alemania,Alemán
1930,Sinclair Lewis,Estados Unidos,Inglés
1931,Erik Axel Karlfeldt,Suecia Suecia,Sueco
1932,John Galsworthy,Reino Unido Reino Unido,Inglés
1933,Iván Bunin,Francia (nacido en el Imperio ruso),Ruso
1934,Luigi Pirandello,Italia Italia,Italiano
1936,Eugene O'Neill,Estados Unidos,Inglés
1937,Roger Martin du Gard,Francia,Francés
1938,Pearl S. Buck,Estados Unidos,Inglés
1939,Frans Eemil Sillanpää,Finlandia Finlandia,Finés
1944,Johannes Vilhelm Jensen,Dinamarca Dinamarca,Danés
1945,Gabriela Mistral,Chile Chile,Español
1946,Hermann Hesse,Suiza Suiza (nacido en Alemania),Alemán
1947,André Gide,Francia,Francés
1948,T. S. Eliot,Reino Unido Reino Unido (nacido en Estados Unidos),Inglés
1949,William Faulkner,Estados Unidos,Inglés
1950,Bertrand Russell,Reino Unido Reino Unido,Inglés
1951,Pär Lagerkvist,Suecia Suecia,Sueco
1952,François Mauriac,Francia,Francés
1953,Winston Churchill,Reino Unido Reino Unido,Inglés
1954,Ernest Hemingway,Estados Unidos,Inglés
1955,Halldór Laxness,Islandia Islandia,Islandés
1956,Juan Ramón Jiménez,España,Español
1957,Albert Camus,Francia (nacido en la Argelia francesa),Francés
1958,Borís Pasternak  (el gobierno soviético le obligó a rechazarlo),Unión Soviética,Ruso
1959,Salvatore Quasimodo,Italia Italia,Italiano
1960,Saint-John Perse,"Francia (nacido en la isla de Guadalupe, departamento de ultramar)",Francés
1961,Ivo Andrić,Yugoslavia (nacido en el Imperio austrohúngaro),Serbocroata
1962,John Steinbeck,Estados Unidos,Inglés
